username,week,total_engagement,text_length,retweet_count,reply_count,like_count,quote_count,tweet_count,rolling_engagement,rolling_tweet_count,engagement_per_text_length,tweet_count_delta,degree_centrality,pagerank,betweenness_centrality,closeness_centrality,eigenvector_centrality,followers_count,friends_count,statuses_count,community,log_followers,engagement_per_follower
Jynxzi,2025-06-02/2025-06-08,16236.0,122.0,4498.0,4283.0,7410.0,45.0,1,3707.444444444445,1.6666666666666667,133.08196721311475,-2.0,,,,,,,,,-1,,
LazarBeam,2024-12-02/2024-12-08,33769.6,91.6,637.4,253.6,32846.0,32.6,5,,,368.6637554585153,0.0,,,,,,,,,-1,,
LazarBeam,2024-12-09/2024-12-15,41113.0,38.0,737.0,1155.0,39164.0,57.0,1,33769.6,5.0,1081.921052631579,-4.0,,,,,,,,,-1,,
LazarBeam,2024-12-16/2024-12-22,17309.0,65.0,314.0,208.0,16764.0,23.0,1,37441.3,3.0,266.2923076923077,0.0,,,,,,,,,-1,,
LazarBeam,2024-12-23/2024-12-29,35376.0,55.0,521.0,259.0,34586.0,10.0,1,30730.533333333336,2.3333333333333335,643.2,0.0,,,,,,,,,-1,,
LazarBeam,2025-02-03/2025-02-09,227.0,78.0,227.0,0.0,0.0,0.0,1,31266.0,1.0,2.91025641025641,0.0,,,,,,,,,-1,,
LazarBeam,2025-02-10/2025-02-16,15439.5,82.0,216.0,127.0,15092.5,4.0,2,17637.333333333332,1.0,188.28658536585365,1.0,,,,,,,,,-1,,
LazarBeam,2025-03-03/2025-03-09,27772.5,24.5,294.5,128.5,27337.5,12.0,2,17014.166666666668,1.3333333333333333,1133.5714285714287,0.0,,,,,,,,,-1,,
LazarBeam,2025-03-24/2025-03-30,46963.0,54.0,1331.0,210.0,45370.0,52.0,1,14479.666666666666,1.6666666666666667,869.6851851851852,-1.0,,,,,,,,,-1,,
LazarBeam,2025-05-26/2025-06-01,3716.0,77.0,44.0,206.0,3463.0,3.0,1,30058.333333333332,1.6666666666666667,48.25974025974026,0.0,,,,,,,,,-1,,
LazarBeam,2025-06-16/2025-06-22,1676.0,165.0,22.0,35.0,1618.0,1.0,1,26150.5,1.3333333333333333,10.157575757575758,0.0,,,,,,,,,-1,,
